Instances,traffic_volume,holiday,temp,clouds_all,weather_main,weather_description,date,time,hour,holiday_val
26990,2588,None,283.23,0,Clear,clear,2016-09-30,05:00:00,5,0
26991,5522,None,283.02,0,Clear,clear,2016-09-30,06:00:00,6,0
26992,6301,None,283.17,0,Clear,clear,2016-09-30,07:00:00,7,0
26993,5267,None,283.68,0,Clear,clear,2016-09-30,08:00:00,8,0
26994,4692,None,284.03,0,Clear,clear,2016-09-30,09:00:00,9,0
26995,4383,None,284.54,0,Clear,clear,2016-09-30,10:00:00,10,0
26996,4607,None,286.93,0,Clear,clear,2016-09-30,11:00:00,11,0
26997,4718,None,288.83,0,Clear,clear,2016-09-30,12:00:00,12,0
26998,4443,None,291.58,0,Clear,clear,2016-09-30,13:00:00,13,0
26999,4980,None,293.54,8,Clear,clear,2016-09-30,14:00:00,14,0
27000,5183,None,294.43,8,Clear,clear,2016-09-30,15:00:00,15,0
27001,5756,None,294.47,8,Clear,clear,2016-09-30,16:00:00,16,0
27002,5028,None,293.16,24,Clouds,few clouds,2016-09-30,17:00:00,17,0
27003,4540,None,292.06,24,Clouds,few clouds,2016-09-30,18:00:00,18,0
27004,3593,None,289.84,24,Clouds,few clouds,2016-09-30,19:00:00,19,0
27005,2947,None,288.59,36,Clouds,scattered clouds,2016-09-30,20:00:00,20,0
27006,3722,None,287.93,36,Clouds,scattered clouds,2016-09-30,21:00:00,21,0
27007,2442,None,287.37,36,Clouds,scattered clouds,2016-09-30,22:00:00,22,0
27008,1727,None,286.61,20,Clouds,few clouds,2016-09-30,23:00:00,23,0
27009,1195,None,286.22,20,Clouds,few clouds,2016-10-01,00:00:00,0,0
27015,1655,None,283.95,24,Clouds,few clouds,2016-10-01,06:00:00,6,0
27016,2535,None,283.86,24,Clouds,few clouds,2016-10-01,07:00:00,7,0
27017,3462,None,284.15,20,Clouds,few clouds,2016-10-01,08:00:00,8,0
27018,3758,None,285.09,0,Clear,clear,2016-10-01,09:00:00,9,0
27019,4089,None,285.8,0,Clear,clear,2016-10-01,10:00:00,10,0
27020,4432,None,287.46,0,Clear,clear,2016-10-01,11:00:00,11,0
27021,4557,None,291.29,12,Clouds,few clouds,2016-10-01,12:00:00,12,0
27022,4421,None,293.8,12,Clouds,few clouds,2016-10-01,13:00:00,13,0
27023,4289,None,294.8,12,Clouds,few clouds,2016-10-01,14:00:00,14,0
27024,4361,None,295.51,0,Clear,clear,2016-10-01,15:00:00,15,0
27025,4109,None,298.03,0,Clear,clear,2016-10-01,16:00:00,16,0
27026,3927,None,294.26,0,Clear,clear,2016-10-01,17:00:00,17,0
27027,3800,None,293.01,0,Clear,clear,2016-10-01,18:00:00,18,0
27028,3434,None,290.55,0,Clear,clear,2016-10-01,19:00:00,19,0
27029,2937,None,288.6,0,Clear,clear,2016-10-01,20:00:00,20,0
27030,2787,None,287.76,0,Clear,clear,2016-10-01,21:00:00,21,0
27031,2981,None,288.15,0,Clear,clear,2016-10-01,22:00:00,22,0
27032,2165,None,285.69,0,Clear,clear,2016-10-01,23:00:00,23,0
27033,1794,None,285.8,32,Clouds,scattered clouds,2016-10-02,00:00:00,0,0
27040,1324,None,282.3,0,Clear,clear,2016-10-02,07:00:00,7,0
27041,2008,None,283.01,0,Clear,clear,2016-10-02,08:00:00,8,0
27042,2734,None,284.11,0,Clear,clear,2016-10-02,09:00:00,9,0
27043,3592,None,286.88,0,Clear,clear,2016-10-02,10:00:00,10,0
27044,3882,None,290.7,0,Clear,clear,2016-10-02,11:00:00,11,0
27045,3962,None,294.52,0,Clear,clear,2016-10-02,12:00:00,12,0
27046,4044,None,296.44,0,Clear,clear,2016-10-02,13:00:00,13,0
27047,4028,None,296.68,0,Clear,clear,2016-10-02,14:00:00,14,0
27048,4043,None,296.8,8,Clear,clear,2016-10-02,15:00:00,15,0
27049,4335,None,298.49,8,Clear,clear,2016-10-02,16:00:00,16,0
27050,4397,None,295.59,8,Clear,clear,2016-10-02,17:00:00,17,0
27051,3944,None,293.82,0,Clear,clear,2016-10-02,18:00:00,18,0
27052,4191,None,290.19,0,Clear,clear,2016-10-02,19:00:00,19,0
27053,3221,None,288.12,0,Clear,clear,2016-10-02,20:00:00,20,0
27054,2190,None,287.21,0,Clear,clear,2016-10-02,21:00:00,21,0
27055,1468,None,286.38,0,Clear,clear,2016-10-02,22:00:00,22,0
27062,2659,None,283.81,0,Clear,clear,2016-10-03,05:00:00,5,0
27063,5531,None,284.05,0,Clear,clear,2016-10-03,06:00:00,6,0
27064,6066,None,283.87,0,Clear,clear,2016-10-03,07:00:00,7,0
27065,4873,None,284.76,0,Clear,clear,2016-10-03,08:00:00,8,0
27066,4477,None,285.81,0,Clear,clear,2016-10-03,09:00:00,9,0
27067,4041,None,289.11,0,Clear,clear,2016-10-03,10:00:00,10,0
27068,4277,None,292.56,0,Clear,clear,2016-10-03,11:00:00,11,0
27069,4366,None,296.44,0,Clear,clear,2016-10-03,12:00:00,12,0
27070,4298,None,297.94,0,Clear,clear,2016-10-03,13:00:00,13,0
27071,4520,None,297.5,0,Clear,clear,2016-10-03,14:00:00,14,0
27072,5179,None,297.15,0,Clear,clear,2016-10-03,15:00:00,15,0
27073,6510,None,298.91,0,Clear,clear,2016-10-03,16:00:00,16,0
27074,6015,None,296.17,0,Clear,clear,2016-10-03,17:00:00,17,0
27075,4305,None,294.55,0,Clear,clear,2016-10-03,18:00:00,18,0
27076,2945,None,292.6,0,Clear,clear,2016-10-03,19:00:00,19,0
27077,2159,None,291.48,0,Clear,clear,2016-10-03,20:00:00,20,0
27078,1802,None,290.75,8,Clear,clear,2016-10-03,21:00:00,21,0
27079,1405,None,290.12,8,Clear,clear,2016-10-03,22:00:00,22,0
27085,1018,None,287.5,44,Clouds,scattered clouds,2016-10-04,04:00:00,4,0
27086,3047,None,287.53,44,Clouds,scattered clouds,2016-10-04,05:00:00,5,0
27087,5869,None,287.8,64,Clouds,broken clouds,2016-10-04,06:00:00,6,0
27088,6199,None,287.59,64,Clouds,broken clouds,2016-10-04,07:00:00,7,0
27089,5460,None,287.14,64,Rain,moderate rain,2016-10-04,08:00:00,8,0
27090,4967,None,287.23,64,Rain,light rain,2016-10-04,09:00:00,9,0
27091,4089,None,287.87,64,Rain,light rain,2016-10-04,10:00:00,10,0
27092,4202,None,289.36,64,Rain,light rain,2016-10-04,11:00:00,11,0
27093,4452,None,291.86,64,Rain,light rain,2016-10-04,12:00:00,12,0
